STRUTHIONIFORMES: Struthionidae
Gabar Goshawk
Grasshopper Buzzard
Eurasian Marsh-Harrier
African Marsh-Harrier
Pallid Harrier
Montagu's Harrier
African Goshawk
Shikra
Levant Sparrowhawk
Little Sparrowhawk
Ovambo Sparrowhawk
Eurasian Sparrowhawk
Rufous-breasted Sparrowhawk
Black Goshawk
Black Kite
African Fish-Eagle
Common Buzzard
Mountain Buzzard
Long-legged Buzzard
Augur Buzzard
" 
STRIGIFORMES: Tytonidae"
African Grass-Owl
Barn Owl
Congo Bay-Owl
" 
STRIGIFORMES: Strigidae"
Sokoke Scops-Owl
Eurasian Scops-Owl
Pemba Scops-Owl
African Scops-Owl
Southern White-faced Owl
Cape Eagle-Owl
Spotted Eagle-Owl
Fraser's Eagle-Owl
Usambara Eagle-Owl
Verreaux's Eagle-Owl
Pel's Fishing-Owl
Pearl-spotted Owlet
African Barred Owlet
African Wood-Owl
Short-eared Owl
Marsh Owl
" 
COLIIFORMES: Coliidae"
Speckled Mousebird
White-headed Mousebird
Blue-naped Mousebird
Red-faced Mousebird
" 
TROGONIFORMES: Trogonidae"
Narina Trogon
Bar-tailed Trogon
" 
BUCEROTIFORMES: Upupidae"
Eurasian Hoopoe
" 
BUCEROTIFORMES: Phoeniculidae"
Green Woodhoopoe
Violet Woodhoopoe
White-headed Woodhoopoe
Forest Woodhoopoe
Common Scimitarbill
Abyssinian Scimitarbill
" 
BUCEROTIFORMES: Bucorvidae"
Southern Ground-Hornbill
" 
BUCEROTIFORMES: Bucerotidae"
Crowned Hornbill
African Pied Hornbill
African Gray Hornbill
Pale-billed Hornbill
Eastern Yellow-billed Hornbill
Von der Decken's Hornbill
Tanzanian Red-billed Hornbill
Northern Red-billed Hornbill
Silvery-cheeked Hornbill
Black-and-white-casqued Hornbill
Trumpeter Hornbill
" 
CORACIIFORMES: Alcedinidae"
Half-collared Kingfisher
Shining-blue Kingfisher
Malachite Kingfisher
White-bellied Kingfisher
African Pygmy-Kingfisher
Gray-headed Kingfisher
Woodland Kingfisher
Mangrove Kingfisher
Blue-breasted Kingfisher
Brown-hooded Kingfisher
Striped Kingfisher
Giant Kingfisher
Pied Kingfisher
" 
CORACIIFORMES: Meropidae"
Red-throated Bee-eater
White-fronted Bee-eater
Little Bee-eater
Blue-breasted Bee-eater
Cinnamon-chested Bee-eater
Swallow-tailed Bee-eater
Somali Bee-eater
White-throated Bee-eater
Böhm's Bee-eater
Blue-cheeked Bee-eater
Madagascar Bee-eater
European Bee-eater
Northern Carmine Bee-eater
Southern Carmine Bee-eater
" 
CORACIIFORMES: Coraciidae"
European Roller
Lilac-breasted Roller
Racket-tailed Roller
Rufous-crowned Roller
Broad-billed Roller
" 
PICIFORMES: Lybiidae"
Crested Barbet
Red-and-yellow Barbet
D'Arnaud's Barbet
Gray-throated Barbet
White-eared Barbet
Whyte's Barbet
Green Barbet
Green Tinkerbird
Moustached Tinkerbird
Yellow-rumped Tinkerbird
Red-fronted Tinkerbird
Yellow-fronted Tinkerbird
Yellow-spotted Barbet
Hairy-breasted Barbet
Red-fronted Barbet
Miombo Barbet
Spot-flanked Barbet
Black-throated Barbet
White-headed Barbet
Red-faced Barbet
Black-billed Barbet
Black-collared Barbet
Brown-breasted Barbet
Black-backed Barbet
Double-toothed Barbet
" 
PICIFORMES: Indicatoridae"
Green-backed Honeyguide
Wahlberg's Honeyguide
Pallid Honeyguide
Least Honeyguide
Lesser Honeyguide
Scaly-throated Honeyguide
Greater Honeyguide
" 
PICIFORMES: Picidae"
Eurasian Wryneck
Rufous-necked Wryneck
Cardinal Woodpecker
Bearded Woodpecker
Golden-crowned Woodpecker
Stierling's Woodpecker
Brown-backed Woodpecker
African Gray Woodpecker
Mountain Gray Woodpecker
Olive Woodpecker
Brown-eared Woodpecker
Buff-spotted Woodpecker
Tullberg's Woodpecker
Green-backed Woodpecker
Nubian Woodpecker
Bennett's Woodpecker
Reichenow's Woodpecker
Golden-tailed Woodpecker
Mombasa Woodpecker
" 
FALCONIFORMES: Falconidae"
Pygmy Falcon
Lesser Kestrel
Eurasian Kestrel
Rock Kestrel
Greater Kestrel
Fox Kestrel
Gray Kestrel
Dickinson's Kestrel
Red-necked Falcon
Red-footed Falcon
Amur Falcon
Eleonora's Falcon
Sooty Falcon
Eurasian Hobby
African Hobby
Lanner Falcon
Saker Falcon
Peregrine Falcon
Taita Falcon
" 
PSITTACIFORMES: Psittaculidae"
Red-headed Lovebird
Fischer's Lovebird
Yellow-collared Lovebird
Lilian's Lovebird
" 
PSITTACIFORMES: Psittacidae"
Gray Parrot
Brown-necked Parrot
Red-fronted Parrot
Meyer's Parrot
Brown-headed Parrot
Red-bellied Parrot
" 
PASSERIFORMES: Calyptomenidae"
African Broadbill
" 
PASSERIFORMES: Pittidae"
African Pitta
" 
PASSERIFORMES: Campephagidae"
Gray Cuckooshrike
White-breasted Cuckooshrike
Black Cuckooshrike
Purple-throated Cuckooshrike
" 
PASSERIFORMES: Oriolidae"
Eurasian Golden Oriole
African Golden Oriole
Green-headed Oriole
Western Black-headed Oriole
African Black-headed Oriole
Black-tailed Oriole
" 
PASSERIFORMES: Platysteiridae"
Brown-throated Wattle-eye
Black-throated Wattle-eye
Chestnut Wattle-eye
Jameson's Wattle-eye
Yellow-bellied Wattle-eye
Short-tailed Batis
Dark Batis
Rwenzori Batis
Cape Batis
Chinspot Batis
Pale Batis
Western Black-headed Batis
Eastern Black-headed Batis
Pygmy Batis
" 
PASSERIFORMES: Vangidae"
White Helmetshrike
Gray-crested Helmetshrike
Retz's Helmetshrike
Chestnut-fronted Helmetshrike
African Shrike-flycatcher
Black-and-white Shrike-flycatcher
" 
PASSERIFORMES: Malaconotidae"
Brubru
Northern Puffback
Pringle's Puffback
Black-backed Puffback
Pink-footed Puffback
Marsh Tchagra
Black-crowned Tchagra
Brown-crowned Tchagra
Three-streaked Tchagra
Lühder's Bushshrike
Tropical Boubou
Zanzibar Boubou
Black-headed Gonolek
Papyrus Gonolek
Slate-colored Boubou
Fülleborn's Boubou
Rosy-patched Bushshrike
Sulphur-breasted Bushshrike
Black-fronted Bushshrike
Four-colored Bushshrike
Gray-headed Bushshrike
Uluguru Bushshrike
" 
PASSERIFORMES: Dicruridae"
Common Square-tailed Drongo
Fork-tailed Drongo
" 
PASSERIFORMES: Monarchidae"
African Crested-Flycatcher
Black-headed Paradise-Flycatcher
African Paradise-Flycatcher
" 
PASSERIFORMES: Laniidae"
Red-backed Shrike
Red-tailed Shrike
Isabelline Shrike
Brown Shrike
Lesser Gray Shrike
Gray-backed Fiscal
Long-tailed Fiscal
Taita Fiscal
Mackinnon's Shrike
Northern Fiscal
Southern Fiscal
Souza's Shrike
Masked Shrike
Woodchat Shrike
Magpie Shrike
White-rumped Shrike
" 
PASSERIFORMES: Corvidae"
House Crow
Cape Crow
Pied Crow
Somali Crow
White-necked Raven
" 
PASSERIFORMES: Hyliotidae"
Yellow-bellied Hyliota
Usambara Hyliota
" 
PASSERIFORMES: Stenostiridae"
African Blue Flycatcher
White-tailed Blue Flycatcher
Dusky Crested-Flycatcher
White-tailed Crested-Flycatcher
" 
PASSERIFORMES: Paridae"
White-shouldered Black-Tit
White-winged Black-Tit
Rufous-bellied Tit
White-bellied Tit
Southern Black-Tit
Miombo Tit
Somali Tit
Red-throated Tit
" 
PASSERIFORMES: Remizidae"
Mouse-colored Penduline-Tit
African Penduline-Tit
" 
PASSERIFORMES: Alaudidae"
Beesley's Lark
Dusky Lark
Chestnut-backed Sparrow-Lark
Fischer's Sparrow-Lark
Pink-breasted Lark
Foxy Lark
Red-winged Lark
Rufous-naped Lark
Angola Lark
Flappet Lark
Friedmann's Lark
White-tailed Lark
Singing Bushlark
Red-capped Lark
Greater Short-toed Lark
Somali Short-toed Lark
Short-tailed Lark
" 
PASSERIFORMES: Nicatoridae"
Western Nicator
Eastern Nicator
" 
PASSERIFORMES: Macrosphenidae"
Green Crombec
White-browed Crombec
Northern Crombec
Red-capped Crombec
Red-faced Crombec
Somali Crombec
Cape Crombec
Moustached Grass-Warbler
Yellow Longbill
Gray Longbill
Kretschmer's Longbill
Green Hylia
" 
PASSERIFORMES: Cisticolidae"
Yellow-vented Eremomela
Yellow-bellied Eremomela
Greencap Eremomela
Black-necked Eremomela
White-chinned Prinia
African Tailorbird
Long-billed Tailorbird
Miombo Wren-Warbler
Stierling's Wren-Warbler
Gray Wren-Warbler
Green-backed Camaroptera
Olive-green Camaroptera
Cricket Longtail
Buff-bellied Warbler
Bar-throated Apalis
Black-throated Apalis
White-winged Apalis
Masked Apalis
Yellow-breasted Apalis
Buff-throated Apalis
Kungwe Apalis
Chestnut-throated Apalis
Chapin's Apalis
Black-headed Apalis
Gray Apalis
Brown-headed Apalis
Karamoja Apalis
Tawny-flanked Prinia
Pale Prinia
Red-winged Prinia
Red-fronted Prinia
Mrs. Moreau's Warbler
Black-faced Rufous-Warbler
Gray-capped Warbler
Red-faced Cisticola
Singing Cisticola
Trilling Cisticola
Chubb's Cisticola
Hunter's Cisticola
Black-lored Cisticola
Rock-loving Cisticola
Rattling Cisticola
Ashy Cisticola
Wailing Cisticola
Churring Cisticola
Winding Cisticola
Coastal Cisticola
Rufous-winged Cisticola
Chirping Cisticola
Carruthers's Cisticola
Levaillant's Cisticola
Stout Cisticola
Croaking Cisticola
Piping Cisticola
Tabora Cisticola
Siffling Cisticola
Tiny Cisticola
Zitting Cisticola
Desert Cisticola
Black-backed Cisticola
Pectoral-patch Cisticola
Pale-crowned Cisticola
Wing-snapping Cisticola
" 
PASSERIFORMES: Acrocephalidae"
Eastern Olivaceous Warbler
African Yellow-Warbler
Mountain Yellow-Warbler
Upcher's Warbler
Olive-tree Warbler
Icterine Warbler
Sedge Warbler
Marsh Warbler
Eurasian Reed Warbler
African Reed Warbler
Basra Reed Warbler
Lesser Swamp Warbler
Greater Swamp Warbler
Great Reed Warbler
" 
PASSERIFORMES: Locustellidae"
Fan-tailed Grassbird
Evergreen-forest Warbler
Cinnamon Bracken-Warbler
Little Rush-Warbler
White-winged Swamp Warbler
Bamboo Warbler
River Warbler
" 
PASSERIFORMES: Hirundinidae"
Plain Martin
Bank Swallow
Banded Martin
Mascarene Martin
Rock Martin
Barn Swallow
Ethiopian Swallow
Angola Swallow
White-throated Swallow
Wire-tailed Swallow
Pearl-breasted Swallow
Montane Blue Swallow
Greater Striped Swallow
Red-rumped Swallow
Lesser Striped Swallow
Rufous-chested Swallow
Mosque Swallow
Common House-Martin
White-headed Sawwing
Black Sawwing
Gray-rumped Swallow
" 
PASSERIFORMES: Pycnonotidae"
Sombre Greenbul
Slender-billed Greenbul
Red-tailed Bristlebill
Lesser Bristlebill
Shelley's Greenbul
Eastern Mountain Greenbul
Uluguru Mountain Greenbul
Yellow-throated Mountain Greenbul
Black-browed Mountain Greenbul
Stripe-cheeked Greenbul
Yellow-bellied Greenbul
Joyful Greenbul
Honeyguide Greenbul
Yellow-throated Greenbul
Spotted Greenbul
Gray Greenbul
Plain Greenbul
Yellow-whiskered Greenbul
Little Greenbul
Leaf-love
Terrestrial Brownbul
Northern Brownbul
Gray-olive Greenbul
Baumann's Greenbul
Toro Olive-Greenbul
Fischer's Greenbul
Cabanis's Greenbul
Icterine Greenbul
Xavier's Greenbul
Yellow-streaked Greenbul
Tiny Greenbul
Usambara Greenbul
Common Bulbul
" 
PASSERIFORMES: Phylloscopidae"
Wood Warbler
Willow Warbler
Common Chiffchaff
Brown Woodland-Warbler
Yellow-throated Woodland-Warbler
Laura's Woodland-Warbler
Uganda Woodland-Warbler
" 
PASSERIFORMES: Scotocercidae"
Yellow Flycatcher
Livingstone's Flycatcher
" 
PASSERIFORMES: Sylviidae"
African Hill Babbler
Rwenzori Hill Babbler
Eurasian Blackcap
Garden Warbler
Barred Warbler
Banded Parisoma
Brown Parisoma
Greater Whitethroat
" 
PASSERIFORMES: Zosteropidae"
Mbulu White-eye
Pale White-eye
South Pare White-eye
Kilimanjaro White-eye
African Yellow White-eye
Pemba White-eye
" 
PASSERIFORMES: Pellorneidae"
Brown Illadopsis
Pale-breasted Illadopsis
Mountain Illadopsis
Scaly-breasted Illadopsis
" 
PASSERIFORMES: Leiothrichidae"
Scaly Chatterer
Rufous Chatterer
Black-lored Babbler
Hartlaub's Babbler
Scaly Babbler
Northern Pied-Babbler
Brown Babbler
Arrow-marked Babbler
" 
PASSERIFORMES: Certhiidae"
African Spotted Creeper
" 
PASSERIFORMES: Buphagidae"
Red-billed Oxpecker
Yellow-billed Oxpecker
" 
PASSERIFORMES: Sturnidae"
Wattled Starling
Rosy Starling
Violet-backed Starling
Slender-billed Starling
Neumann's Starling
Red-winged Starling
Chestnut-winged Starling
Waller's Starling
Babbling Starling
Magpie Starling
Sharpe's Starling
Abbott's Starling
Stuhlmann's Starling
Kenrick's Starling
Black-bellied Starling
Hildebrandt's Starling
Shelley's Starling
Rüppell's Starling
Ashy Starling
Splendid Starling
Golden-breasted Starling
Superb Starling
Fischer's Starling
Lesser Blue-eared Starling
Sharp-tailed Starling
Greater Blue-eared Starling
" 
PASSERIFORMES: Turdidae"
Rufous Flycatcher-Thrush
Red-tailed Ant-Thrush
White-tailed Ant-Thrush
Spotted Ground-Thrush
Abyssinian Ground-Thrush
Orange Ground-Thrush
Groundscraper Thrush
Abyssinian Thrush
Usambara Thrush
African Bare-eyed Thrush
Kurrichane Thrush
African Thrush
" 
PASSERIFORMES: Muscicapidae"
African Dusky Flycatcher
Spotted Flycatcher
Swamp Flycatcher
Böhm's Flycatcher
Sooty Flycatcher
African Gray Flycatcher
Pale Flycatcher
Gray-throated Tit-Flycatcher
Gray Tit-Flycatcher
Ashy Flycatcher
Silverbird
Northern Black-Flycatcher
Southern Black-Flycatcher
White-eyed Slaty-Flycatcher
Fire-crested Alethe
Bearded Scrub-Robin
Miombo Scrub-Robin
Rufous-tailed Scrub-Robin
Brown-backed Scrub-Robin
Red-backed Scrub-Robin
Olive-flanked Robin-Chat
Cape Robin-Chat
Blue-shouldered Robin-Chat
Gray-winged Robin-Chat
Rüppell's Robin-Chat
White-browed Robin-Chat
Red-capped Robin-Chat
Snowy-crowned Robin-Chat
Collared Palm-Thrush
Spotted Morning-Thrush
White-starred Robin
Swynnerton's Robin
Brown-chested Alethe
White-chested Alethe
Forest Robin
Bocage's Akalat
Lowland Akalat
Sharpe's Akalat
East Coast Akalat
Usambara Akalat
Iringa Akalat
Rubeho Akalat
White-throated Robin
Thrush Nightingale
Common Nightingale
Semicollared Flycatcher
Collared Flycatcher
Common Redstart
Little Rock-Thrush
Rufous-tailed Rock-Thrush
Miombo Rock-Thrush
Whinchat
African Stonechat
Moorland Chat
Mocking Cliff-Chat
Sooty Chat
Northern Anteater-Chat
Arnot's Chat
Ruaha Chat
Northern Wheatear
Capped Wheatear
Isabelline Wheatear
Pied Wheatear
Familiar Chat
Abyssinian Wheatear
Mourning Wheatear
" 
PASSERIFORMES: Modulatricidae"
Spot-throat
Dapple-throat
" 
PASSERIFORMES: Nectariniidae"
Fraser's Sunbird
Gray-headed Sunbird
Plain-backed Sunbird
Anchieta's Sunbird
Western Violet-backed Sunbird
Eastern Violet-backed Sunbird
Uluguru Violet-backed Sunbird
Little Green Sunbird
Green Sunbird
Banded Sunbird
Collared Sunbird
Amani Sunbird
Green-headed Sunbird
Blue-throated Brown Sunbird
Olive Sunbird
Mouse-colored Sunbird
Green-throated Sunbird
Amethyst Sunbird
Scarlet-chested Sunbird
Hunter's Sunbird
Tacazze Sunbird
Bronze Sunbird
Malachite Sunbird
Red-tufted Sunbird
Golden-winged Sunbird
Olive-bellied Sunbird
Western Miombo Sunbird
Eastern Miombo Sunbird
Montane Double-collared Sunbird
Regal Sunbird
Eastern Double-collared Sunbird
Usambara Double-collared Sunbird
Forest Double-collared Sunbird
Moreau's Sunbird
Loveridge's Sunbird
Beautiful Sunbird
Mariqua Sunbird
Shelley's Sunbird
Red-chested Sunbird
Black-bellied Sunbird
Purple-banded Sunbird
Tsavo Sunbird
Violet-breasted Sunbird
Pemba Sunbird
Orange-tufted Sunbird
Superb Sunbird
Rufous-winged Sunbird
Oustalet's Sunbird
White-breasted Sunbird
Variable Sunbird
Copper Sunbird
" 
PASSERIFORMES: Ploceidae"
White-billed Buffalo-Weaver
Red-billed Buffalo-Weaver
White-headed Buffalo-Weaver
Speckle-fronted Weaver
White-browed Sparrow-Weaver
Chestnut-backed Sparrow-Weaver
Rufous-tailed Weaver
Gray-headed Social-Weaver
Black-capped Social-Weaver
Red-headed Malimbe
Red-headed Weaver
Bertram's Weaver
Baglafecht Weaver
Little Weaver
Slender-billed Weaver
Black-necked Weaver
Spectacled Weaver
Black-billed Weaver
African Golden-Weaver
Holub's Golden-Weaver
Orange Weaver
Golden Palm Weaver
Taveta Golden-Weaver
Southern Brown-throated Weaver
Northern Brown-throated Weaver
Kilombero Weaver
Lesser Masked-Weaver
Vitelline Masked-Weaver
Tanganyika Masked-Weaver
Speke's Weaver
Vieillot's Weaver
Village Weaver
Weyns's Weaver
Black-headed Weaver
Golden-backed Weaver
Chestnut Weaver
Forest Weaver
Brown-capped Weaver
Olive-headed Weaver
Usambara Weaver
Compact Weaver
Cardinal Quelea
Red-headed Quelea
Red-billed Quelea
Southern Red Bishop
Zanzibar Red Bishop
Black-winged Bishop
Black Bishop
Yellow-crowned Bishop
Fire-fronted Bishop
Yellow Bishop
White-winged Widowbird
Yellow-mantled Widowbird
Red-collared Widowbird
Fan-tailed Widowbird
Marsh Widowbird
Buff-shouldered Widowbird
Jackson's Widowbird
Grosbeak Weaver
" 
PASSERIFORMES: Estrildidae"
Gray-headed Nigrita
White-breasted Nigrita
Jameson's Antpecker
White-collared Oliveback
Yellow-bellied Waxbill
Green-backed Twinspot
Abyssinian Crimsonwing
Red-faced Crimsonwing
Black-tailed Waxbill
Fawn-breasted Waxbill
Crimson-rumped Waxbill
Black-rumped Waxbill
Common Waxbill
Black-crowned Waxbill
Black-faced Waxbill
Black-cheeked Waxbill
Red-headed Bluebill
Black-bellied Seedcracker
Lesser Seedcracker
Southern Cordonbleu
Red-cheeked Cordonbleu
Blue-capped Cordonbleu
Purple Grenadier
Peters's Twinspot
Green-winged Pytilia
Orange-winged Pytilia
Red-billed Firefinch
Brown Firefinch
African Firefinch
Jameson's Firefinch
Cut-throat
Zebra Waxbill
Quailfinch
Locustfinch
Gray-headed Silverbill
Bronze Mannikin
Black-and-white Mannikin
Magpie Mannikin
African Silverbill
Java Sparrow
" 
PASSERIFORMES: Viduidae"
Pin-tailed Whydah
Broad-tailed Paradise-Whydah
Eastern Paradise-Whydah
Steel-blue Whydah
Straw-tailed Whydah
Village Indigobird
Wilson's Indigobird
Variable Indigobird
Purple Indigobird
Green Indigobird
Parasitic Weaver
" 
PASSERIFORMES: Passeridae"
House Sparrow
